lat,lon,froce_cyclone,ventricité
-53.4375,32.9375,1.2792386263467055e-06,-3.089311854514481e-05
-56.6875,-139.9375,1.6867557792831925e-07,-1.3398426728022592e-05
32.6875,148.6875,1.1993562840148228e-07,1.0715751063796047e-05
75.6875,146.1875,8.43222669358414e-08,3.0166946719111234e-06
-16.0625,42.8125,1.7866832935949166e-07,-3.1263901751243624e-05
-30.1875,159.4375,3.1895058710962485e-07,-2.547908156304978e-05
-54.8125,-131.8125,1.3350064161342536e-06,-4.038715286304479e-05
31.4375,167.0625,5.086953937995236e-07,2.1385630912625077e-05
21.4375,146.3125,1.472530939870622e-07,1.1089365207454397e-05
-58.9375,-107.6875,4.791278528019711e-07,-2.3426554328648063e-05
-64.1875,-107.4375,2.5808073291408277e-08,-1.8291819673652642e-06
-59.6875,114.8125,2.638307109128556e-07,-1.0624973539623671e-05
-51.4375,151.4375,1.502112843480274e-06,-4.329885899564658e-05
-24.9375,41.4375,4.082956839898697e-07,-1.801999722538058e-05
-59.4375,168.9375,3.4121903974179677e-07,-3.0304359804355516e-05
-28.5625,46.5625,2.1847417894916724e-07,-1.407379544695832e-05
41.5625,-32.0625,7.778952421691864e-08,9.395616282080443e-06
-51.9375,104.9375,3.609098788744862e-07,-2.1324875091205128e-05
-37.6875,-51.0625,3.493959298562383e-07,-4.014463320512371e-05
44.9375,151.6875,1.477579319802448e-07,1.7845883662295012e-05
-44.0625,106.0625,6.800897871764106e-07,-1.9741475058170715e-05
32.4375,-56.5625,5.143310301982786e-07,2.0449352988262887e-05
-62.9375,-122.3125,8.685752784025138e-07,-1.843560657798066e-05
30.9375,157.4375,3.684543288182943e-07,1.780590851370576e-05
45.3125,-30.3125,1.6389805951163655e-07,6.887937095260134e-06
22.0625,-69.3125,2.800245819334345e-07,1.8803184808635662e-05
23.9375,-65.1875,2.2299072316346382e-07,1.1783570341126864e-05
-62.6875,-95.5625,3.071091977495842e-07,-1.357082497514489e-05
69.6875,-163.8125,2.3980600314396234e-07,7.774917130913199e-07
-44.3125,84.8125,1.3983613558312679e-06,-3.6927983517205185e-05
-61.0625,-109.6875,3.355583992794523e-07,-1.0443859255925961e-05
-54.3125,150.1875,6.498815852810679e-07,-2.0095813241364878e-05
-54.8125,-114.1875,4.685192419280611e-07,-1.4223839946857907e-05
-58.1875,-117.6875,4.565341704746026e-07,-2.7454526505014356e-05
-53.0625,90.6875,5.484443578062274e-07,-1.2174182291115575e-05
24.1875,-69.9375,2.834026639825747e-07,1.9347827711674133e-05
-51.5625,-138.8125,1.1245030633948914e-06,-1.8725833883292652e-05
-29.6875,112.1875,6.375758100554785e-08,-2.1436587327473744e-05
48.6875,-17.3125,6.479948627466933e-07,2.2577225347816827e-05
33.6875,-50.0625,9.33105917802815e-07,2.503655489748394e-05
35.0625,-53.0625,2.1629780579761842e-07,7.102335099786791e-06
21.6875,129.4375,3.26833854245401e-07,2.341716395985356e-05
21.4375,141.3125,7.642723310049473e-08,1.2380937753315016e-05
38.8125,-35.9375,2.0655960723786183e-07,8.23214636283645e-06
58.8125,-21.4375,7.961857685353642e-07,2.1484613619474e-05
-59.5625,32.6875,1.3963008824720518e-07,-1.0987603734855307e-05
-50.8125,100.4375,6.745459767018741e-08,-2.31539186432433e-05
45.1875,-32.3125,1.0390677167097479e-07,1.2495663216515064e-05
-55.9375,-119.5625,6.304435633564977e-07,-1.8451383655636547e-05
-34.5625,102.1875,5.024645099686978e-07,-1.5522491423943935e-05
27.3125,170.6875,2.1781474800715842e-07,1.0663597047119629e-05
-60.5625,-80.8125,7.655621398728818e-07,-1.994295995828964e-05
-43.8125,98.5625,2.942080390396137e-07,-1.39007781847917e-05
-50.3125,-165.9375,5.217023379697586e-07,-2.019685732469909e-05
-41.3125,150.0625,8.598192607476212e-07,-4.008959142136401e-05
-59.6875,-121.4375,8.246198130438821e-07,-2.689032514286356e-05
37.9375,134.4375,6.991366976793648e-08,1.9769605300128217e-05
-53.6875,-138.3125,4.4744235743366643e-07,-3.695316287081369e-05
-56.3125,-95.5625,6.618941170705393e-07,-2.0250860046541753e-05
-65.4375,-122.1875,1.734977256069478e-07,-1.2025678792663077e-05
21.1875,155.9375,1.1771435412821803e-07,1.5549218563246938e-05
40.5625,-45.5625,5.015970589417961e-07,2.546962640470285e-05
-52.8125,141.9375,2.0951102344408162e-07,-8.149786766778591e-06
-33.9375,50.4375,2.546017144966409e-07,-1.2800609744660788e-05
27.5625,143.4375,4.067185345785457e-07,1.924655102907477e-05
-40.4375,84.8125,2.8244107408500903e-07,-1.4199342575374058e-05
74.4375,123.3125,1.1035750824139255e-07,4.1264483809405316e-06
-41.4375,90.8125,4.081433051226626e-07,-2.2860275292826534e-05
42.9375,-53.6875,3.151446283336224e-07,1.2910427809499193e-05
33.1875,172.3125,1.2251551898399351e-06,3.7982746841384177e-05
-33.3125,41.1875,5.898745213777125e-08,-1.2106353201779436e-05
-45.9375,133.9375,1.1451094239739068e-07,-1.3233631939489068e-05
-55.6875,84.0625,7.994901964367062e-07,-2.3885446359557652e-05
-54.8125,-129.0625,5.987848072985495e-07,-1.906652724875135e-05
-52.6875,-145.1875,3.524940898735895e-07,-2.3359707772414368e-05
-61.4375,109.9375,3.7301540766795404e-07,-1.547510614413148e-05
-23.9375,70.1875,2.899019771372043e-07,-1.3163466128607905e-05
28.1875,155.1875,3.70964450540119e-07,1.8998980265407627e-05
-33.3125,15.1875,3.1780080471605143e-07,-5.017128046864494e-05
24.0625,163.9375,1.7071647578187238e-07,8.715524368482058e-06
-44.8125,59.9375,6.368973136768019e-07,-1.844913552523746e-05
48.3125,-35.4375,3.1380911844020853e-07,1.1453214665144537e-05
19.0625,88.5625,3.4552815787865484e-07,1.936914734138545e-05
-54.8125,-172.6875,8.013286248182001e-07,-2.828748415301074e-05
-48.6875,110.1875,5.185508473640063e-07,-2.71479394558011e-05
30.3125,172.4375,3.4330862822828826e-07,1.5449714705748547e-05
76.0625,136.5625,7.347919719919743e-08,2.8385718753487446e-06
41.3125,-37.8125,4.7598184843706094e-07,1.3426230858824482e-05
-44.1875,64.0625,2.2269331127379187e-07,-2.0374956085081563e-05
28.9375,121.9375,8.903194879114736e-07,2.826497151369811e-05
-51.4375,148.6875,7.616352311969686e-07,-2.856140400564492e-05
31.8125,-123.9375,2.650009326374716e-07,1.297839068453378e-05
22.1875,135.1875,3.2760247740830766e-07,1.6087654495821834e-05
50.5625,-26.1875,2.400985828757057e-07,1.6230717450188227e-05
-50.0625,96.9375,6.617290105560422e-07,-2.1488969127515307e-05
-19.6875,38.4375,5.429173177220648e-07,-2.6407427902873785e-05
24.5625,157.5625,9.713368096532448e-08,1.0241753189898362e-05
20.3125,-84.6875,4.3336575665427e-07,2.7584444788231575e-05
23.9375,-72.3125,1.7279745539535582e-07,2.058059595814088e-05
49.6875,-28.9375,2.5307793421022094e-07,1.7527982145546054e-05
50.3125,-35.8125,3.174296222897068e-07,1.4886179125637608e-05
-57.5625,-101.4375,3.6377706628236086e-07,-1.1988410685156788e-05
-41.6875,48.1875,3.629092533536487e-07,-2.0620013203783e-05
-49.9375,98.8125,4.860061823635048e-07,-2.105716913788857e-05
-14.8125,101.1875,1.0624377731986653e-07,-7.219721771381366e-06
-35.3125,40.6875,5.429054717949961e-07,-1.6432909413046677e-05
30.1875,-120.8125,7.6971909631518e-08,1.3867210538829107e-05
-53.4375,-154.3125,4.697905755638141e-07,-1.3196482624538148e-05
30.6875,-46.3125,1.7680894790890428e-07,9.503681162771123e-06
39.1875,138.4375,4.877956216430633e-07,1.6499285138606254e-05
-24.9375,-39.5625,5.027487405932945e-07,-2.6264503322139593e-05
-49.0625,37.6875,7.020686345142118e-07,-1.414882723972297e-05
-44.8125,148.1875,6.120639249995607e-07,-3.3095861061302054e-05
-23.3125,41.6875,1.6540307845665376e-07,-1.216164805837439e-05
-59.4375,-103.9375,1.0593808740553289e-06,-2.5137190842209176e-05
-52.8125,118.9375,7.393039010318648e-07,-2.0744483390311072e-05
-47.0625,-17.3125,1.5944225704719722e-07,-1.0934229906148729e-05
-61.3125,176.6875,3.55395081622756e-07,-1.433016257582412e-05
51.0625,-33.1875,4.398659599229656e-07,1.5244394973555014e-05
-57.8125,-56.5625,1.4861085536872213e-07,-1.0053535659220308e-05
-46.9375,-15.0625,1.792208369457137e-07,-8.200531278028577e-06
-54.6875,-53.1875,9.741322893679457e-07,-3.243247194006517e-05
-50.6875,111.1875,3.537399373919486e-07,-1.1755762959386541e-05
