lat,lon,froce_cyclone,ventricité
-24.8125,-161.9375,1.42825378105942e-07,9.160570165539023e-06
-40.5625,165.3125,8.58019722745363e-08,7.796978081736807e-06
-37.4375,118.1875,7.210086111184491e-08,1.3607693564172177e-05
-44.4375,72.0625,3.490822532965795e-07,1.9187089806229606e-05
38.9375,144.4375,1.3382150761770892e-07,-2.095106743600566e-05
-31.1875,174.4375,1.1067549705553303e-07,1.1869827086814836e-05
-34.8125,167.0625,3.560983107085352e-07,1.3791630921564488e-05
-20.3125,51.4375,2.2006850985249687e-07,9.90819625200235e-06
29.9375,-88.9375,6.502045823646902e-07,-2.1601485965838417e-05
-47.3125,36.9375,2.5761757160479754e-07,6.215700508199369e-06
-29.4375,-164.5625,1.0812535422739011e-07,7.0626882995207924e-06
-49.0625,133.6875,4.834628150127795e-07,1.4207191845053462e-05
20.1875,142.6875,6.979249003508344e-08,-1.1556491211568138e-05
13.9375,67.1875,1.6787683390541124e-07,-1.3861280450948804e-05
-35.9375,178.5625,2.8977230955060767e-07,9.220471997242036e-06
40.9375,-176.9375,1.6614930820565917e-07,-7.059566298526694e-06
-32.1875,0.6875,2.384886079199971e-07,1.0797046185019549e-05
21.3125,138.4375,2.5848043692645347e-07,-1.2860508081464375e-05
-51.9375,27.6875,4.390239953789423e-07,1.559100524131597e-05
11.0625,129.0625,3.298857077680963e-08,-4.826851283405384e-06
9.6875,147.9375,3.957028445537131e-08,-3.3514540904724823e-06
-50.3125,46.4375,3.883188279411406e-07,8.782113253426461e-06
-57.3125,-117.1875,2.4373933444673635e-07,1.529616963653644e-05
-35.3125,-16.0625,1.5514670891453108e-07,8.977873362868205e-06
37.5625,-40.3125,6.118076812889694e-07,-1.4740238443415038e-05
-56.8125,85.4375,1.69937166078214e-06,2.6224846585777472e-05
11.1875,131.0625,5.3315811236914535e-08,-6.883524625225586e-06
17.6875,-174.3125,1.4742920841513863e-07,-7.388736114403666e-06
-43.9375,-3.6875,4.524605513305475e-07,2.1689004583352288e-05
47.1875,153.4375,7.24685545403473e-07,-3.539734638224272e-05
14.3125,-77.0625,6.206353232145284e-08,-7.813081597635798e-06
16.3125,58.6875,3.0200835700063226e-08,-6.5213268994277914e-06
19.4375,160.5625,1.1527221371656619e-07,-8.681847835042602e-06
-40.6875,-122.1875,3.103238206765094e-07,9.610831298406222e-06
14.0625,71.1875,1.1882953673122386e-07,-8.732431827481471e-06
-45.4375,161.9375,2.554682551714515e-07,9.165653322953328e-06
-36.6875,-9.1875,1.459875749097245e-07,9.48208140314174e-06
36.4375,-49.3125,1.7987272625094008e-08,-7.4201818709016964e-06
-9.6875,172.5625,1.0248694221459975e-08,4.831780619869621e-06
-61.4375,-74.6875,1.298991551494552e-07,1.8211931197699603e-05
-47.6875,30.1875,3.7003839402282843e-07,1.043237112943427e-05
-27.3125,44.1875,6.327612398116246e-07,2.9157409156170403e-05
27.5625,147.8125,2.832983424429663e-07,-1.5966646546671683e-05
-50.4375,-178.5625,2.1054532339849027e-07,1.1483948620522342e-05
-49.9375,-37.6875,7.285305420717215e-07,2.8818181885443163e-05
-25.5625,171.5625,1.8026151145289028e-07,9.727837366989313e-06
